"EAST","NORTH","ELEV","AREA","CU","ZN","MO","FE"
3486.49,5200.51,3990.5,174,2.79,0.42,0.028,19.55
3490.03,5196.98,3990.5,474,2.26,0.58,0.026,17.23
3493.57,5193.44,3990.5,474,2.09,0.45,0.022,15.72
3497.1,5189.91,3990.5,474,0.9,0.15,0.036,14.07
3500.64,5186.37,3990.5,474,0.67,0.04,0.054,9.5
3504.17,5182.84,3990.5,474,0.38,0.03,0.074,7.1
3507.71,5179.3,3990.5,474,0.4,0.04,0.079,6.41
3511.24,5175.77,3990.5,474,0.42,0.03,0.068,4.82
3514.78,5172.23,3990.5,368,0.12,0.02,0.064,1.67
3518.31,5168.69,3990.5,368,0.11,0.02,0.071,1.85
3521.85,5165.16,3990.5,368,0.11,0.01,0.075,1.36
3525.39,5161.62,3990.5,365,0.1,0.01,0.069,1.21
3528.92,5158.09,3990.5,365,0.1,0.01,0.067,1.32
3532.46,5154.55,3990.5,365,0.1,0.02,0.061,1.68
3535.99,5151.02,3990.5,94,0.59,0.03,0.064,5.68
3539.53,5147.48,3990.5,94,0.08,0.02,0.061,1.35
3468.82,5225.26,3990.5,174,0.46,0.14,0.138,10.7
3472.35,5221.73,3990.5,174,0.45,0.15,0.119,11.06
3475.89,5218.19,3990.5,174,0.34,0.1,0.06,13.15
3479.42,5214.66,3990.5,174,0.8,0.36,0.031,14.61
3482.96,5211.12,3990.5,174,1.49,0.6,0.02,19.11
3486.49,5207.58,3990.5,174,1.73,0.4,0.023,19.16
3490.03,5204.05,3990.5,174,2.43,0.32,0.033,19.2
3493.57,5200.51,3990.5,474,2.15,0.3,0.029,17.17
3497.1,5196.98,3990.5,474,1.92,0.23,0.034,15.15
3500.64,5193.44,3990.5,474,0.54,0.08,0.044,12.17
3504.17,5189.91,3990.5,474,0.47,0.03,0.054,9.26
3507.71,5186.37,3990.5,474,0.49,0.03,0.061,7.76
3511.24,5182.84,3990.5,474,1.17,0.03,0.072,5.44
3514.78,5179.3,3990.5,474,1.15,0.03,0.079,4.5
3518.31,5175.77,3990.5,368,0.13,0.02,0.067,2.08
3521.85,5172.23,3990.5,368,0.12,0.02,0.071,1.59
3525.39,5168.69,3990.5,368,0.12,0.02,0.073,1.55
3528.92,5165.16,3990.5,365,0.1,0.01,0.065,1.27
3532.46,5161.62,3990.5,365,0.09,0.01,0.063,1.28
3535.99,5158.09,3990.5,365,0.08,0.01,0.061,1.19
