"x","y","z","hora"
3916,5674.88,3937.71,10
3927.34,5696.64,3937.71,10
3926.92,5687.04,3937.7,10
3927.8,5689.6,3937.7,10
3920.54,5678.72,3937.71,10
3916,5675.52,3937.71,10
3927.34,5696.64,3937.71,10
3914.04,5714.56,3937.7,10
3930,5700.48,3937.78,10
3930.32,5698.56,3937.78,10
3928.88,5702.4,3937.78,10
3919.24,5697.92,3937.73,10
3927.32,5692.16,3937.78,10
3925.96,5702.4,3937.78,10
3927.42,5697.28,3937.78,10
3925.96,5687.04,3937.72,10
3919.16,5678.08,3937.72,10
3924.36,5683.84,3937.72,10
3788,5524.48,3938.2,6
3780.72,5523.2,3938.2,6
3787.2,5523.84,3938.2,6
3780.92,5521.92,3938.2,6
3793.08,5526.4,3938.2,6
3790.36,5525.12,3938.2,6
3796.58,5526.4,3937.46,6
3774.96,5521.92,3938.19,6
3793.14,5525.76,3938.27,6
3791.06,5525.76,3938.27,6
3768.42,5534.08,3938.27,6
3782.84,5521.28,3937.5,6
3782.94,5525.12,3937.5,6
3792.64,5527.04,3937.5,6
3789.46,5524.48,3937.5,6
3788,5525.12,3937.5,6
3781.68,5523.2,3937.5,6
