ID,X,Y,Z,name,material
440,3866.546,5660.736,3945.500,06/03,M1
441,3012.643,6354.073,4590.500,05/02,C
442,3249.775,4552.358,4155.500,26/06,M2A
443,3306.996,4510.612,4155.500,26/04,M2A
444,4314.687,6234.836,4275.500,15/01,A
445,4442.135,4722.544,4245.500,01/03,A
446,3165.211,5015.241,4035.500,17/05,A
447,4011.354,4535.802,4260.500,31/01,B
448,4865.734,5476.428,4275.500,45/05,A
449,4570.976,5150.720,4260.500,30/01,A
450,4475.894,5105.854,4260.500,29/04,A
451,3275.378,4536.553,4155.500,26/05,M2A
452,3335.516,4497.749,4155.500,26/03,M2A
453,3204.326,4986.474,4035.500,12/11,M2A
454,4074.462,6253.943,4290.500,20/05,C
455,4183.900,6129.738,4269.796,20/04,C
456,3458.135,6448.646,4590.500,25/03,C
457,3741.306,5638.812,3945.500,03/05,M1
458,3542.866,5242.794,3990.500,01/09,A
459,4481.046,5879.181,4260.500,22/01,A
460,3215.330,5016.872,4050.500,01/03,A
461,3162.831,5045.732,4050.500,05/01,B
462,3228.626,4999.323,4050.500,01/01,M2A
463,4258.512,6080.300,4275.500,20/02,B
464,3725.847,5618.213,3945.500,03/03,M4B
465,3579.791,5577.210,3960.500,00/00,A
466,3926.583,5658.895,3945.500,10/02,M1
467,4625.994,5287.214,4260.500,20/07,A
468,4588.056,5157.376,4260.500,30/02,M4B
469,4785.523,5927.444,4305.500,06/06,C
470,3113.841,6243.392,4560.500,16/01,A
471,3343.146,5217.053,4065.500,05/01,A
472,3226.576,4586.896,4155.500,26/08,M2A
473,4626.691,5232.271,4260.500,28/01,A
474,3533.978,5182.808,3990.500,01/02,M1
475,4872.341,5505.281,4275.500,45/06,C
476,3461.912,5188.311,3990.500,10/01,M4B
477,4493.064,4861.025,4245.500,05/02,C
478,5271.988,5624.678,4425.500,24/01,B
479,3583.769,5229.910,3990.500,01/06,A
480,4068.036,5417.052,3885.500,11/07,A
481,3844.117,5773.927,3945.500,08/08,M1
482,4553.082,5159.824,4260.500,30/04,M4B
483,3133.229,6056.306,4560.500,04/02,A
484,3105.078,6191.898,4560.500,14/01,C
485,3010.580,6150.277,4560.500,16/03,A
486,4163.061,6274.774,4290.500,20/03,B
487,4733.523,5274.902,4260.500,23/03,A
488,3781.212,5677.352,3945.500,08/01,M1
489,4459.494,5825.121,4260.500,36/05,A
490,2514.614,4334.058,4159.000,02/09,A
491,3846.860,5398.579,3960.500,11/06,M1
492,4740.630,5056.956,4260.500,19/02,B
493,3133.408,6399.642,4590.500,33/02,C
494,3254.669,4960.896,4020.500,12/01,M2A
495,4847.208,5404.574,4275.500,45/08,B
496,3654.325,5356.617,3960.500,27/02,M2
497,2930.954,6223.654,4605.500,13/06,A
